product_id,category,price_tier,key_actives,concern_tags,irritation_risk,is_new
1,mask,mid,"salicylic_acid,ceramides","dehydration,pigmentation",0.4,False
2,toner,premium,"ceramides,aha_bha","pigmentation,aging",0.55,False
3,sunscreen,premium,aha_bha,dullness,0.55,False
4,eye_cream,premium,peptides,dehydration,0.12,False
5,moisturizer,premium,aha_bha,dullness,0.55,True
6,moisturizer,budget,"peptides,centella","dullness,sensitivity",0.12,False
7,serum,mid,"azelaic_acid,ceramides",acne,0.25,True
8,cleanser,mid,"niacinamide,hyaluronic_acid",sensitivity,0.05,False
9,mask,budget,niacinamide,dehydration,0.05,False
10,toner,mid,"salicylic_acid,aha_bha",acne,0.55,False
11,toner,budget,peptides,aging,0.12,False
12,sunscreen,mid,"vitamin_c,niacinamide",dehydration,0.3,False
13,toner,mid,centella,aging,0.1,False
14,mask,mid,"retinol,vitamin_c",dehydration,0.65,False
15,cleanser,premium,"azelaic_acid,hyaluronic_acid","sensitivity,acne",0.25,False
16,sunscreen,mid,"ceramides,centella",sensitivity,0.1,False
17,mask,mid,"retinol,niacinamide",pigmentation,0.65,False
18,moisturizer,mid,niacinamide,pigmentation,0.05,False
19,sunscreen,budget,"aha_bha,ceramides",dullness,0.55,False
20,sunscreen,budget,niacinamide,"acne,aging",0.05,False
21,mask,mid,peptides,acne,0.12,False
22,mask,premium,"azelaic_acid,ceramides","sensitivity,aging",0.25,False
23,mask,mid,vitamin_c,dullness,0.3,False
24,moisturizer,premium,"hyaluronic_acid,niacinamide",aging,0.05,False
25,eye_cream,budget,aha_bha,dehydration,0.55,False
26,sunscreen,budget,ceramides,dullness,0.08,False
27,mask,premium,niacinamide,sensitivity,0.05,False
28,serum,budget,"vitamin_c,ceramides",acne,0.3,False
29,serum,premium,ceramides,dullness,0.08,False
30,cleanser,mid,"azelaic_acid,ceramides",acne,0.25,False
31,serum,budget,"hyaluronic_acid,niacinamide",dullness,0.05,False
32,serum,premium,"hyaluronic_acid,centella",pigmentation,0.1,False
33,eye_cream,premium,ceramides,aging,0.08,False
34,mask,mid,"hyaluronic_acid,salicylic_acid","pigmentation,sensitivity",0.4,False
35,eye_cream,premium,vitamin_c,sensitivity,0.3,False
36,eye_cream,budget,"niacinamide,aha_bha",dullness,0.55,True
37,sunscreen,premium,"vitamin_c,azelaic_acid",aging,0.3,False
38,mask,mid,peptides,dehydration,0.12,False
39,serum,premium,vitamin_c,dehydration,0.3,False
40,sunscreen,budget,centella,dehydration,0.1,False
41,mask,mid,"hyaluronic_acid,niacinamide","pigmentation,aging",0.05,False
42,toner,budget,azelaic_acid,"pigmentation,acne",0.25,False
43,eye_cream,premium,azelaic_acid,acne,0.25,False
44,cleanser,budget,"niacinamide,salicylic_acid","dehydration,sensitivity",0.4,False
45,sunscreen,mid,"vitamin_c,hyaluronic_acid",acne,0.3,False
46,cleanser,premium,retinol,"acne,pigmentation",0.65,False
47,serum,budget,"centella,niacinamide",dehydration,0.1,False
48,serum,premium,"ceramides,vitamin_c",dehydration,0.3,False
49,mask,mid,niacinamide,"pigmentation,dehydration",0.05,True
50,toner,budget,salicylic_acid,"sensitivity,aging",0.4,False
51,sunscreen,budget,peptides,dullness,0.12,False
52,moisturizer,budget,"niacinamide,ceramides","dullness,aging",0.08,False
53,mask,budget,"retinol,azelaic_acid",pigmentation,0.65,False
54,serum,budget,azelaic_acid,"aging,acne",0.25,False
55,moisturizer,mid,"hyaluronic_acid,niacinamide","aging,dullness",0.05,False
56,sunscreen,mid,aha_bha,dullness,0.55,False
57,moisturizer,mid,"aha_bha,vitamin_c","sensitivity,dullness",0.55,False
58,eye_cream,budget,"retinol,aha_bha",sensitivity,0.65,False
59,moisturizer,premium,peptides,acne,0.12,False
60,sunscreen,premium,salicylic_acid,"pigmentation,dehydration",0.4,False
61,toner,premium,vitamin_c,sensitivity,0.3,False
62,sunscreen,premium,salicylic_acid,"pigmentation,aging",0.4,False
63,serum,mid,"centella,hyaluronic_acid",aging,0.1,False
64,moisturizer,premium,"retinol,niacinamide","dullness,acne",0.65,False
65,eye_cream,mid,niacinamide,acne,0.05,False
66,cleanser,budget,ceramides,pigmentation,0.08,False
67,mask,mid,aha_bha,"sensitivity,dullness",0.55,False
68,serum,mid,"salicylic_acid,ceramides",dehydration,0.4,False
69,toner,budget,"ceramides,azelaic_acid",dullness,0.25,False
70,moisturizer,budget,"centella,ceramides",acne,0.1,False
71,serum,budget,"aha_bha,azelaic_acid",pigmentation,0.55,False
72,sunscreen,mid,azelaic_acid,"aging,acne",0.25,True
73,sunscreen,premium,niacinamide,aging,0.05,False
74,eye_cream,budget,niacinamide,dehydration,0.05,False
75,serum,mid,"aha_bha,niacinamide","pigmentation,acne",0.55,False
76,moisturizer,budget,aha_bha,acne,0.55,False
77,mask,mid,"retinol,hyaluronic_acid",aging,0.65,True
78,moisturizer,budget,"azelaic_acid,aha_bha","acne,dullness",0.55,False
79,cleanser,budget,"peptides,ceramides",aging,0.12,False
80,moisturizer,mid,retinol,"dehydration,pigmentation",0.65,False
81,sunscreen,premium,"peptides,vitamin_c","dullness,dehydration",0.3,False
82,serum,premium,aha_bha,"acne,dehydration",0.55,False
83,serum,premium,"niacinamide,peptides","dullness,sensitivity",0.12,False
